,Date,signal,vwap
2181,2022-12-14,0.0,
2182,2022-12-15,-1.0,143.67667134602866
2183,2022-12-16,-1.0,140.6377579152633
2184,2022-12-19,-1.0,138.13200636515347
2185,2022-12-20,-1.0,137.15477378197443
2186,2022-12-21,-1.0,136.32492196464548
2187,2022-12-22,-1.0,136.13057807595067
2188,2022-12-23,-1.0,135.68766893725612
2189,2022-12-27,-1.0,135.30258201341013
2190,2022-12-28,-1.0,134.84694014855015
2191,2022-12-29,-1.0,134.14822681792384
2192,2022-12-30,-1.0,133.76225456901028
2193,2023-01-03,-1.0,133.41488531516254
2194,2023-01-04,-1.0,132.7588473773412
2195,2023-01-05,-1.0,132.3214537472353
2196,2023-01-06,-1.0,131.92312994043343
2197,2023-01-09,-1.0,131.69444727476653
2198,2023-01-10,-1.0,131.6682980734641
2199,2023-01-11,1.0,131.60050382011312
2200,2023-01-12,1.0,131.6387996329857
2201,2023-01-13,1.0,131.69823947988698
2202,2023-01-17,1.0,131.76754445222744
2203,2023-01-18,1.0,131.90964843186387
2204,2023-01-19,1.0,132.07262256601302
2205,2023-01-20,1.0,132.1640315131063
2206,2023-01-23,1.0,132.34535933911854
2207,2023-01-24,1.0,132.67518189825935
2208,2023-01-25,1.0,132.96234982200937
2209,2023-01-26,1.0,133.20132212029208
2210,2023-01-27,1.0,133.44301049802758
2211,2023-01-30,1.0,133.8028717996493
2212,2023-01-31,1.0,134.06831323900934
2213,2023-02-01,1.0,134.32279516221558
2214,2023-02-02,1.0,134.63079042364052
2215,2023-02-03,1.0,135.3137654500862
2216,2023-02-06,1.0,136.29230747713882
2217,2023-02-07,1.0,136.66794102798815
2218,2023-02-08,1.0,137.13870218308898
2219,2023-02-09,1.0,137.46341956435163
2220,2023-02-10,1.0,137.72371825449835
2221,2023-02-13,1.0,137.95657354567953
2222,2023-02-14,1.0,138.24733847281902
2223,2023-02-15,1.0,138.51739410864445
2224,2023-02-16,1.0,138.8318528416879
2225,2023-02-17,1.0,139.14382271051855
2226,2023-02-21,1.0,139.364918765142
2227,2023-02-22,1.0,139.5320396619682
2228,2023-02-23,1.0,139.6621255533428
2229,2023-02-24,1.0,139.7864232910892
2230,2023-02-27,1.0,139.88798744060225
2231,2023-02-28,1.0,139.9879282831877
2232,2023-03-01,1.0,140.09192544465105
2233,2023-03-02,1.0,140.17512657834416
2234,2023-03-03,1.0,140.24669062639214
2235,2023-03-06,1.0,140.41763838832358
2236,2023-03-07,1.0,140.7227340144508
2237,2023-03-08,1.0,140.88049747516922
2238,2023-03-09,1.0,141.0150943398922
2239,2023-03-10,1.0,141.1529207977753
2240,2023-03-13,1.0,141.27903320815872
2241,2023-03-14,1.0,141.45641281557528
2242,2023-03-15,1.0,141.63215297105376
2243,2023-03-16,1.0,141.81041781492362
2244,2023-03-17,1.0,142.0235874690307
2245,2023-03-20,1.0,142.3047469636156
2246,2023-03-21,1.0,142.52369403436882
2247,2023-03-22,1.0,142.76663940830042
2248,2023-03-23,1.0,143.0209556957549
2249,2023-03-24,1.0,143.24330781656886
2250,2023-03-27,1.0,143.43415097763156
2251,2023-03-28,1.0,143.59413169931236
2252,2023-03-29,1.0,143.71755276219062
2253,2023-03-30,1.0,143.8824936403055
2254,2023-03-31,1.0,144.05410828606085
2255,2023-04-03,1.0,144.31180887086086
2256,2023-04-04,1.0,144.53762086759778
2257,2023-04-05,1.0,144.72009947789243
2258,2023-04-06,1.0,144.89765235875984
2259,2023-04-10,1.0,145.05412699964424
2260,2023-04-11,1.0,145.19443596711127
2261,2023-04-12,1.0,145.3308124892948
2262,2023-04-13,1.0,145.466712963132
2263,2023-04-14,1.0,145.6916566701622
2264,2023-04-17,1.0,145.85798284064697
2265,2023-04-18,1.0,145.99394758595284
2266,2023-04-19,1.0,146.16875278403216
2267,2023-04-20,1.0,146.3379300184757
2268,2023-04-21,1.0,146.51710422769116
2269,2023-04-24,1.0,146.6993837263397
2270,2023-04-25,1.0,146.8256586573435
2271,2023-04-26,1.0,146.96743442725312
2272,2023-04-27,1.0,147.09297019293004
2273,2023-04-28,1.0,147.30476459385798
2274,2023-05-01,1.0,147.49687800978538
2275,2023-05-02,1.0,147.67987312436688
2276,2023-05-03,1.0,147.84038377289463
2277,2023-05-04,1.0,148.04944065367147
2278,2023-05-05,1.0,148.26947912366398
2279,2023-05-08,1.0,148.68976047888148
2280,2023-05-09,1.0,148.89438458713366
2281,2023-05-10,1.0,149.05190726075858
2282,2023-05-11,1.0,149.24269489082073
2283,2023-05-12,1.0,149.41833983144002
2284,2023-05-15,1.0,149.57116389339774
2285,2023-05-16,1.0,149.69326426293284
2286,2023-05-17,1.0,149.83018561422531
2287,2023-05-18,1.0,150.0132612641047
2288,2023-05-19,1.0,150.2376080130604
2289,2023-05-22,1.0,150.43482409114932
2290,2023-05-23,1.0,150.57841864168617
2291,2023-05-24,1.0,150.72913404002898
2292,2023-05-25,1.0,150.85846587316854
2293,2023-05-26,1.0,151.0265285284158
2294,2023-05-30,1.0,151.20262367659976
2295,2023-05-31,1.0,151.4010832372231
2296,2023-06-01,1.0,151.74929005810247
2297,2023-06-02,1.0,151.9961817436059
2298,2023-06-05,1.0,152.22740684037007
2299,2023-06-06,1.0,152.67488886548435
2300,2023-06-07,1.0,152.8912349169653
2301,2023-06-08,1.0,153.09352091784237
2302,2023-06-09,1.0,153.26048383216985
2303,2023-06-12,1.0,153.43101632885183
2304,2023-06-13,1.0,153.62880136044936
2305,2023-06-14,1.0,153.82909670422416
2306,2023-06-15,1.0,154.03683274930793
2307,2023-06-16,1.0,154.28557443631615
2308,2023-06-20,1.0,154.66222155258532
2309,2023-06-21,1.0,154.84286956585464
2310,2023-06-22,1.0,155.01343598155307
2311,2023-06-23,1.0,155.19943010067064
2312,2023-06-26,1.0,155.39289472060736
2313,2023-06-27,1.0,155.56480795250454
2314,2023-06-28,1.0,155.75106601141331
2315,2023-06-29,1.0,155.94597878275255
2316,2023-06-30,1.0,156.12365803148552
2317,2023-07-03,1.0,156.48055296973192
2318,2023-07-05,1.0,156.60889648294983
2319,2023-07-06,1.0,156.79308596602323
2320,2023-07-07,1.0,156.96510739506567
2321,2023-07-10,1.0,157.1427018432056
2322,2023-07-11,1.0,157.3500291957319
2323,2023-07-12,1.0,157.50668086042836
2324,2023-07-13,1.0,157.72148891549372
2325,2023-07-14,1.0,157.8683996410619
2326,2023-07-17,1.0,158.01479653661113
2327,2023-07-18,1.0,158.20651805980788
2328,2023-07-19,1.0,158.3887004977944
2329,2023-07-20,1.0,158.7035147724917
